research,toefl,intern,greV,greQ,greA,gpa,major,univ,target_univ,admit
0,91.0,3.0,140.0,158.0,3.0,0.8800000000000001,OE,3,Wayne State University,1
0,103.0,0.0,153.0,164.0,3.5,0.74,OE,3,Wayne State University,1
0,102.0,0.0,138.0,169.0,3.5,0.686,EE,3,Wayne State University,1
0,89.0,0.0,146.0,163.0,3.0,0.64,OE,5,Wayne State University,1
0,98.0,0.0,147.0,162.0,3.0,0.61,OE,2,Wayne State University,1
0,99.0,0.0,146.0,157.0,3.0,0.8029999999999999,CS,2,Wayne State University,1
0,93.0,0.0,149.0,159.0,3.5,0.79,CS,3,Wayne State University,1
0,84.0,0.0,138.0,162.0,3.0,0.78,OE,3,Wayne State University,1
0,105.0,0.0,149.0,162.0,3.5,0.64,CS,4,Wayne State University,1
0,8.0,0.0,157.0,164.0,4.0,0.71,CS,2,Wayne State University,1
15,95.0,4.0,143.0,157.0,3.5,0.66,OE,3,Wayne State University,1
0,100.0,0.0,146.0,155.0,3.5,0.65,CS,5,Wayne State University,1
0,94.0,0.0,149.0,153.0,2.5,0.629,OE,3,Wayne State University,1
0,86.0,0.0,143.0,148.0,2.5,0.85,OE,3,Wayne State University,1
0,112.0,0.0,141.0,169.0,4.0,0.66,EE,4,Wayne State University,1
0,101.0,0.0,135.0,170.0,4.0,0.624,OE,3,Wayne State University,1
0,95.0,0.0,140.0,170.0,3.5,0.6,OE,3,Wayne State University,1
0,101.0,0.0,136.0,168.0,3.5,6.7,OE,3,Wayne State University,1
0,96.0,6.0,145.0,163.0,3.0,0.6722,OE,3,Wayne State University,1
0,105.0,2.0,147.0,165.0,3.5,0.689,OE,3,Wayne State University,1
0,7.0,0.0,141.0,166.0,3.0,0.67,EE,3,Wayne State University,1
0,79.0,0.0,140.0,155.0,2.5,0.66,OE,3,Wayne State University,1
0,89.0,0.0,143.0,158.0,3.0,0.7,CS,3,Wayne State University,1
0,81.0,0.0,139.0,158.0,3.0,0.7,OE,2,Wayne State University,1
0,90.0,0.0,142.0,160.0,3.0,0.68,OE,3,Wayne State University,1
0,100.0,0.0,145.0,159.0,3.0,0.78,OE,3,Wayne State University,1
0,96.0,0.0,136.0,168.0,3.0,0.75,EE,3,Wayne State University,1
0,92.0,0.0,150.0,151.0,3.0,0.693,OE,3,Wayne State University,1
0,119.0,0.0,166.0,159.0,4.5,0.73,EE,4,Wayne State University,1
0,106.0,0.0,149.0,163.0,4.5,0.58,OE,3,Wayne State University,1
0,100.0,0.0,146.0,170.0,3.0,0.5542,EE,3,Wayne State University,1
0,104.0,0.0,150.0,161.0,3.0,0.64,EE,3,Wayne State University,1
0,86.0,0.0,150.0,142.0,3.0,0.8320000000000001,CS,3,Wayne State University,1
0,93.0,0.0,139.0,156.0,3.0,0.67,EE,3,Wayne State University,1
0,102.0,0.0,133.0,168.0,3.0,0.873,OE,3,Wayne State University,1
0,84.0,0.0,146.0,156.0,3.0,0.077,EE,4,Wayne State University,1
0,97.0,0.0,140.0,147.0,3.0,0.6486,CS,3,Wayne State University,1
0,88.0,0.0,140.0,159.0,3.0,0.72,EE,5,Wayne State University,1
0,103.0,0.0,149.0,158.0,3.5,0.775,OE,2,Wayne State University,1
0,98.0,0.0,147.0,160.0,3.0,0.65,OE,3,Wayne State University,1
